============================================================
  Generated by:           Genus(TM) Synthesis Solution 19.12-s121_1
  Generated on:           Jun 07 2026  12:44:32 pm
  Module:                 top_NUM_HEADS8_TILE_DIM8_D_HEAD8_D_MODEL512_FIFO_D256
  Technology libraries:   typical 
                          physical_cells 
  Operating conditions:   typical 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                       Instance                                             Module                        Cell Count   Cell Area    Net Area     Total Area 
------------------------------------------------------------------------------------------------------------------------------------------------------------
top_NUM_HEADS8_TILE_DIM8_D_HEAD8_D_MODEL512_FIFO_D256                                                        3432394 12258610.850 3479269.455  15737880.305 
        pe_row_g[5].pe_col_g[0].u_add                 fp32_add_pip_168                                          1613     5739.290    1620.325      7359.615 
        pe_row_g[4].pe_col_g[3].u_add                 fp32_add_pip_163                                          1594     5715.530    1628.556      7344.086 
        pe_row_g[6].pe_col_g[6].u_add                 fp32_add_pip_182                                          1644     5680.107    1635.358      7315.465 
      sa_q                                            systolic_array_M8_N8_K8_10                              124976   447475.391  127961.585    575436.976 
        pe_row_g[6].pe_col_g[7].u_add                 fp32_add_pip_55                                           1834     6429.386    1837.913      8267.300 
        pe_row_g[2].pe_col_g[6].u_add                 fp32_add_pip_22                                           1852     6352.291    1861.545      8213.836 
        pe_row_g[7].pe_col_g[7].u_add                 fp32_add_pip_63                                           1812     6369.793    1827.802      8197.595 
        pe_row_g[0].pe_col_g[3].u_add                 fp32_add_pip_3                                            1800     6320.622    1806.466      8127.087 
        pe_row_g[0].pe_col_g[4].u_add                 fp32_add_pip_4                                            1752     6335.670    1777.596      8113.265 
        pe_row_g[6].pe_col_g[4].u_add                 fp32_add_pip_52                                           1779     6292.304    1792.097      8084.401 
        pe_row_g[6].pe_col_g[0].u_add                 fp32_add_pip_48                                           1746     6249.605    1763.410      8013.016 
        pe_row_g[2].pe_col_g[4].u_add                 fp32_add_pip_20                                           1800     6176.092    1807.314      7983.406 
        pe_row_g[5].pe_col_g[0].u_add                 fp32_add_pip_40                                           1748     6141.456    1759.020      7900.476 
        pe_row_g[2].pe_col_g[5].u_add                 fp32_add_pip_21                                           1738     6132.539    1762.363      7894.901 
